source,target
ಅವನು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada tomorrow
ನಾನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie tomorrow
ಅವನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit now
ಅವರು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,They listen to music every day
ಅವಳು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ನೀನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,You play a game now
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ಅವಳು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book in the evening
ನೀನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,You speak Kannada now
ನಾವು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home today
ನಾವು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie now
ನಾವು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit tomorrow
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ಅವಳು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home in the evening
ನಾನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book in the evening
ನೀನು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie today
ನಾವು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada in the evening
ನಾನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school now
ಅವರು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit every day
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ನಾವು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie now
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ನಾನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada today
ನಾವು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie every day
ಅವರು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie in the evening
ನಾವು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school in the evening
ಅವರು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie now
ನಾನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie tomorrow
ಅವರು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,They listen to music today
ನೀನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music in the evening
ನಾವು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada in the evening
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
ಅವನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music every day
ಅವರು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school every day
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ನಾನು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada every day
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ನಾನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit today
ಅವನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school now
ನಾವು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit now
ಅವಳು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit today
ಅವರು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home now
ಅವನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music now
ಅವಳು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home every day
ನೀನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit now
ಅವಳು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie now
ನಾನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,I play a game now
ನಾನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book now
ನಾವು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home tomorrow
ಅವಳು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit every day
ನಾನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit now
ಅವಳು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada in the evening
ಅವನು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home today
ಅವಳು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit every day
ನೀನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie tomorrow
ಅವನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,He play a game every day
ಅವರು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book in the evening
ನಾನು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,I come home now
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ಅವನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book every day
ನಾನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,I play a game tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ನಾನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada now
ನೀನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school now
ಅವನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada in the evening
ಅವರು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,They listen to music tomorrow
ಅವಳು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit tomorrow
ಅವಳು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school in the evening
ಅವರು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie every day
ನಾವು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit every day
ನಾವು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada tomorrow
ನಾನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music today
ನಾನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school every day
ನಾನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music every day
ಅವಳು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music every day
ಅವಳು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home today
ನಾವು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie every day
ಅವಳು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school now
ನೀನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit now
ಅವರು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada today
ಅವರು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book in the evening
ಅವನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music now
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ಅವನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie tomorrow
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ಅವಳು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game tomorrow
ಅವರು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home in the evening
ನಾವು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book tomorrow
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ನಾನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada today
ಅವರು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book every day
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ಅವರು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home today
ಅವರು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit now
ನೀನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school now
ಅವಳು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,She play a game every day
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ನೀನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book tomorrow
ಅವನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,She play a game every day
ಅವನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit every day
ಅವನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game tomorrow
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ನಾನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit every day
ಅವಳು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music in the evening
ಅವರು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada now
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾವು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music tomorrow
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ಅವರು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book every day
ಅವಳು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book tomorrow
ನೀನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,You play a game now
ನಾನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit now
ಅವನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home in the evening
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ನೀನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book now
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನೀನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,You play a game today
ಅವನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada now
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ಅವನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home in the evening
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ಅವಳು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada today
ನಾವು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music today
ನೀನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music every day
ಅವಳು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,She play a game now
ಅವಳು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home tomorrow
ಅವಳು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie now
ಅವನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ನಾನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music now
ನೀನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school in the evening
ಅವನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music today
ಅವನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school today
ಅವಳು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie every day
ನಾವು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit now
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ಅವನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book every day
ಅವರು ಸಂಜೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit in the evening
ನೀನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book now
ನಾನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie every day
ನೀನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,You speak Kannada in the evening
ಅವನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit today
ನೀನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit today
ಅವನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book in the evening
ಅವಳು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school in the evening
ಅವನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada now
ಅವನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada today
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ಅವನು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home tomorrow
ಅವರು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit today
ನಾವು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music now
ನೀನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie in the evening
